ダウンロードした時刻：2023/11/14 14:04:25

,調布,調布,調布
年月日時,気温(℃),気温(℃),気温(℃)
,,品質情報,均質番号
2023/10/13 1:00:00,,0,1
2023/10/13 2:00:00,,0,1
2023/10/13 3:00:00,,0,1
2023/10/13 4:00:00,,0,1
2023/10/13 5:00:00,,0,1
2023/10/13 6:00:00,,0,1
2023/10/13 7:00:00,,0,1
2023/10/13 8:00:00,,0,1
2023/10/13 9:00:00,,0,1
2023/10/13 10:00:00,,0,1
2023/10/13 11:00:00,,0,1
2023/10/13 12:00:00,,0,1
2023/10/13 13:00:00,,0,1
2023/10/13 14:00:00,,0,1
2023/10/13 15:00:00,,0,1
2023/10/13 16:00:00,,0,1
2023/10/13 17:00:00,,0,1
2023/10/13 18:00:00,,0,1
2023/10/13 19:00:00,,0,1
2023/10/13 20:00:00,,0,1
2023/10/13 21:00:00,,0,1
2023/10/13 22:00:00,,0,1
2023/10/13 23:00:00,,0,1
2023/10/14 00:00:00,,0,1
2023/10/14 1:00:00,,0,1
2023/10/14 2:00:00,,0,1
2023/10/14 3:00:00,,0,1
2023/10/14 4:00:00,,0,1
2023/10/14 5:00:00,,0,1
2023/10/14 6:00:00,,0,1
2023/10/14 7:00:00,,0,1
2023/10/14 8:00:00,,0,1
2023/10/14 9:00:00,,0,1
2023/10/14 10:00:00,,0,1
2023/10/14 11:00:00,,0,1
2023/10/14 12:00:00,,0,1
2023/10/14 13:00:00,,0,1
2023/10/14 14:00:00,,0,1
2023/10/14 15:00:00,,0,1
2023/10/14 16:00:00,,0,1
2023/10/14 17:00:00,,0,1
2023/10/14 18:00:00,,0,1
2023/10/14 19:00:00,,0,1
2023/10/14 20:00:00,,0,1
2023/10/14 21:00:00,,0,1
2023/10/14 22:00:00,,0,1
2023/10/14 23:00:00,,0,1
2023/10/15 00:00:00,,0,1
2023/10/15 1:00:00,,0,1
2023/10/15 2:00:00,,0,1
2023/10/15 3:00:00,,0,1
2023/10/15 4:00:00,,0,1
2023/10/15 5:00:00,,0,1
2023/10/15 6:00:00,,0,1
2023/10/15 7:00:00,,0,1
2023/10/15 8:00:00,,0,1
2023/10/15 9:00:00,,0,1
2023/10/15 10:00:00,,0,1
2023/10/15 11:00:00,,0,1
2023/10/15 12:00:00,,0,1
2023/10/15 13:00:00,,0,1
2023/10/15 14:00:00,,0,1
2023/10/15 15:00:00,,0,1
2023/10/15 16:00:00,,0,1
2023/10/15 17:00:00,,0,1
2023/10/15 18:00:00,,0,1
2023/10/15 19:00:00,,0,1
2023/10/15 20:00:00,,0,1
2023/10/15 21:00:00,,0,1
2023/10/15 22:00:00,,0,1
2023/10/15 23:00:00,,0,1
2023/10/16 00:00:00,,0,1
